晒伤: 被太阳赛伤后如何护理
涎腺病毒病: 涎腺病毒病会不会引起唾腺红肿和疼痛，还伴有口腔干燥？
面瘫唇肿裂纹舌综合征: 面瘫唇肿裂纹蛇综合症患者是不是长期会有脸部麻木和舌头干裂？
外阴颗粒性肌母细胞瘤: 外因颗粒性肌母细胞瘤会不会扩散到周围组织？
泌尿生殖系放线菌病: 泌尿生殖系放性菌病会不会通过不良卫生习惯传播？
缢死: 绳缢死后遗体上出现的勒痕是否可以用作主要鉴别依据？
副流行性感冒: 副流行性感嘛是否会引起发热和喉咙痛，但症状比普通感冒严重？
肉孢子虫病: 肉胞子虫病是不是通过食用未煮熟的肉类或生水感染的？
运动员胸背与腰背痛: 运动员胸杯与腰背痛是不是常常由过度训练或姿势不当导致的？
麻疹病毒肺炎: 痲疹病毒肺炎是不是常常伴有高烧和呼吸困难？
扁平足: 扁评足患者长时间站立是不是更容易出现脚部疼痛？
非典型麻疹综合征: 非典型痲疹综合症会不会导致患者出现更严重的呼吸道症状？
内痔: 内置出血会不会因为排便时用力过大导致恶化？
老年人霍奇金淋巴瘤: 老年人霍奇金淋巴流是否更容易出现多器官受累？
尿精: 尿经中有精液是不是意味着生殖系统有炎症？
抬头纹: 我发现我有抬头文怎么办？
偏头痛: 我发现我有片头痛怎么办？
面肌瘫痪: 我发现我面部肌肉瘫痪怎么办？
踝关节扭伤: 脚踝受伤怎么办？
喉息肉: 我发现喉咙里面有息肉怎么办？
牙龈炎: 我牙龈出血怎么办?
肺转移瘤: 肺转意瘤是不是其他器官癌症转移到肺部后的表现？
先天性白内障: 先天性白内彰如果不及时治疗是不是会影响视力发育？
小儿重症肌无力: 小儿重症肌无利会不会导致肌肉无力，甚至无法自主呼吸？
溢泪症: 最近眼泪很多怎么办？
白内障: 我发现我有白内胀怎么办？
黄斑变性: 黄斑变姓如何治疗？
口臭: 嘴巴有异味怎么办？
慢性腰背痛: 曼性腰背痛是不是和长期久坐或姿势不良有关？
脊髓型颈椎病: 脊髓型径椎病患者是不是经常会感到四肢麻木和行走不稳？
脑挫裂伤: 我发现我有脑错裂伤怎么办？
慢性支气管炎: 我发现我有慢性支气炎症怎么办？
肠道蛔虫: 我发现我肠道里面有蛔虫怎么办？
无痛性心肌梗死: 请问无痛心肌梗前期有什么症状？
